ano,ranking_ano,estado,uf,total_estado_df,total_municipios,total_fundeb,percentual_brasil
2024,1,São Paulo,SP,26625941465.590000,32541084207.080002,59167025672.669998,0.190653939728
2024,2,Minas Gerais,MG,12269497700.110001,14723630096.790001,26993127796.900002,0.086979970711
2024,3,Bahia,BA,5418405275.000000,18964529860.430000,24382935135.430000,0.078569145446
2024,4,Rio de Janeiro,RJ,4379505585.620000,11978174700.420000,16357680286.040001,0.052709362282
2024,5,Pará,PA,3564408080.150000,12659623624.520000,16224031704.670000,0.052278706384
2024,6,Paraná,PR,7531622720.960000,8651370657.070000,16182993378.029999,0.052146468562
2024,7,Maranhão,MA,2479324231.640000,13400286907.730000,15879611139.369999,0.051168879805
2024,8,Ceará,CE,3169353696.050000,12631518640.219999,15800872336.270000,0.050915159716
2024,9,Rio Grande do Sul,RS,6431803586.970000,9215446903.520000,15647250490.490002,0.050420143957
2024,10,Pernambuco,PE,3980435276.460000,8846537610.150000,12826972886.610001,0.041332361866
2024,11,Santa Catarina,SC,4399841377.320000,7438497693.200000,11838339070.520000,0.038146686570
2024,12,Goiás,GO,3886785178.990000,5827887730.140000,9714672909.130001,0.031303595918
2024,13,Amazonas,AM,3030842481.030000,5352192774.690000,8383035255.719999,0.027012659166
2024,14,Piauí,PI,1733810550.320000,4977155942.410000,6710966492.730000,0.021624751062
2024,15,Mato Grosso,MT,2941045049.670000,3739731394.840000,6680776444.510000,0.021527469652
2024,16,Paraíba,PB,1684674414.000000,4854165058.720000,6538839472.720000,0.021070106069
2024,17,Alagoas,AL,1333939464.440000,4973283111.790000,6307222576.230000,0.020323766815
2024,18,Espírito Santo,ES,1926937768.020000,4182045414.400000,6108983182.420000,0.019684979906
2024,19,Mato Grosso do Sul,MS,1746130843.580000,3226869753.250000,4973000596.830000,0.016024502589
2024,20,Rio Grande do Norte,RN,1507351996.960000,3179926134.400000,4687278131.360001,0.015103818929
2024,21,Sergipe,SE,1205916798.340000,2305322943.990000,3511239742.330000,0.011314269774
2024,22,Tocantins,TO,1393840565.760000,2017351921.890000,3411192487.650000,0.010991887450
2024,23,Distrito Federal,DF,3224687006.170000,0.000000,3224687006.170000,0.010390910733
2024,24,Rondônia,RO,1635655644.060000,1438559199.000000,3074214843.060000,0.009906044198
2024,25,Acre,AC,1236421705.100000,913754013.650000,2150175718.750000,0.006928512414
2024,26,Amapá,AP,1064798407.310000,770002802.860000,1834801210.170000,0.005912280960
2024,27,Roraima,RR,846198521.880000,879158637.820000,1725357159.700000,0.005559619335
2025,1,São Paulo,SP,27820483660.509998,34788496243.459999,62608979903.970001,0.182860575427
2025,2,Minas Gerais,MG,12609358686.030001,16740127204.020000,29349485890.050003,0.085720353320
2025,3,Bahia,BA,6134970102.600000,21951909832.150002,28086879934.750000,0.082032689795
2025,4,Pará,PA,4314705567.240000,14500830615.059999,18815536182.299999,0.054954094102
2025,5,Ceará,CE,3663755870.390000,15054920574.790001,18718676445.180000,0.054671198145
2025,6,Maranhão,MA,3199543690.870000,15217066905.430000,18416610596.299999,0.053788961523
2025,7,Paraná,PR,8458656965.030000,9234320503.270000,17692977468.299999,0.051675463262
2025,8,Rio de Janeiro,RJ,4263977527.380000,12761032424.010000,17025009951.389999,0.049724546242
2025,9,Rio Grande do Sul,RS,6039934094.280000,10177188910.820000,16217123005.099998,0.047364969834
2025,10,Pernambuco,PE,4483768751.720000,9813782073.950001,14297550825.670002,0.041758520506
2025,11,Santa Catarina,SC,4694204158.960000,8094733399.000000,12788937557.959999,0.037352349208
2025,12,Goiás,GO,4172779907.440000,6188604468.630000,10361384376.070000,0.030262251711
2025,13,Amazonas,AM,3154679522.570000,6055678343.570000,9210357866.139999,0.026900475649
2025,14,Piauí,PI,2143845099.280000,5860954847.750000,8004799947.030000,0.023379430982
2025,15,Mato Grosso,MT,3265738364.170000,4426930833.090000,7692669197.260000,0.022467798040
2025,16,Alagoas,AL,1630583431.880000,5971719440.090000,7602302871.970000,0.022203867239
2025,17,Paraíba,PB,1852572949.750000,5471404065.840000,7323977015.590000,0.021390967455
2025,18,Espírito Santo,ES,2122693015.040000,4651655847.030000,6774348862.070000,0.019785681430
2025,19,Mato Grosso do Sul,MS,1918921666.580000,3407684235.470000,5326605902.049999,0.015557292609
2025,20,Rio Grande do Norte,RN,1618548707.600000,3642164339.010000,5260713046.610001,0.015364840896
2025,21,Sergipe,SE,1385355739.770000,2718454060.700000,4103809800.470000,0.011985900788
2025,22,Tocantins,TO,1485697280.380000,2228987071.140000,3714684351.520000,0.010849391239
2025,23,Distrito Federal,DF,3407910643.610000,0.000000,3407910643.610000,0.009953404484
2025,24,Rondônia,RO,1714904835.240000,1625933975.520000,3340838810.760000,0.009757509359
2025,25,Acre,AC,1377557006.560000,1004307642.600000,2381864649.160000,0.006956656074
2025,26,Amapá,AP,1098628226.780000,849994712.110000,1948622938.890000,0.005691297198
2025,27,Roraima,RR,900070951.710000,1013702624.810000,1913773576.520000,0.005589513485
